sentence	label
김옥빈 영화랑 최고 잘 어울리고 예쁘고 퇴폐미 짱인디.... 송강호 말도 안되게 너무 아저씨에 안어울려서 보는 내내 집중 안되고 섹스 장면에서는 둘의 간극이 징그럽고 역겨워서 보다 끔.. 송강호가 섹시하다고.. 나는 모르겠다.. 아빠뻘 남자와 구원자를 기다리는 무기력한 젊은 여자..싫다..	1
자 한번 만들어 보자꾸나	0
아시타카 전기는 언제나 들어도 소름이다	1
그날, 그 광주가 궁금해진다	1
아휴....진짜 핵노잼이여 임팩트도없고 여주인공년은 왜케답답스러운지 지금 중반부좀넘었는데 끄고싶다만 다안보고얘기하는걸까봐 참는중 개무서울줄알았는데 실몽	0
너희모두의잘못이다	1
이도 영실 대배우들도 살리지 못한 그들의 사랑	0
뭔가 다른길로 퇴근하고 싶었던 날 우연히 통과하게된 상가단지때문에 다시 읽어봤다. 덕지덕지 벽에 쓰인 철거라는 빨간 스프레이글자랑 닫힌 상가 유리문을 봤을땐 쓸쓸하단 생각이 먼저 들었다. 그래 시간이 지나면 사람도 도시도 변해야지 이렇게 무심하게 남일처럼 생각하고 말았는데, 상가단지 중심쪽 슈퍼 평상에 사람들이 모여 앉아있는 분들 앞을 지나갈때 받은 시선때문에 이 책이 생각났다. 여기저기 붙어있는 철거반대, 재건축 반대 플랜카드와 그 앞의 얼굴들때문에. ㅁ 중학교땐가 교과서에 실려서 보게된 책인데 그당시엔 책 속 인물이 죽던살던 느껴지는건 그 죽음에 대한 선생님이 알려주신 의미 몇자가 주는 느낌뿐이었는데(인물들 안타깝다 정도..?) 이번엔 인물들이 굴곡지게 살아가는 모습이 참 와닿았다	1
인간은 그 짧고도 유한한 삶을 참 다양하게도 고통스러워 하는구나	1
엔딩정말골때림 ㅠㅠ	1
운전 진짜 잘한다... 기대없이 봤는데 나름 재밌게 봤다	0
음악 너무 좋고~영화도 진짜 재밌어요~강츄~	1
종방되어 아쉬워요. 오늘막방도 잘봤어요.방송대본이 꽤 완성도있다는 느낌받았고요. 요즘 드라마들의 막장에 지쳐있었는데 수백향은 정말 바른드라마였던듯해요.악역들도 그리 심하게 어이없지도 않았고요..MBC화이팅!!	1
영화를 보는 내내 생각을 멈출 수 없는 영화 영화를 보고있지만 마치 추리소설을 읽고 있는 느낌	1
여름에는 '8월의 크리스마스' 겨울에는 바로 이 영화	1
소름 끼치도록 무서운 근미래. 아니 현실.	1
인생엔 슬픔이 있기때문에 그시절의 여름과 추억들이 더욱 찬란하게 빛나겠지.	1
아니 뒤에 좀비 있잖아..그만 좀 울어ㅠㅠ	1
심심풀이용도 안 되는 영화다,,심심할 때 이따위 영화를 보느니 차라리 소금을 먹는 게 낫다,,평점 0점은 입력이 안 돼서 부득이하게 1점 줬다	0
